complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
22-0529,2022-11-09 05:00:00+00,1200,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-6-22 at 8:40 PM, while in the confines of the 12th District, they were stopped by police, because of their tags. The complainant states that they were racially profiled because they were driving a luxury car. The complainant¿s vehicle was searched without their permission.",2022-11-06,08:40 PM,7015
22-0530,2022-11-10 05:00:00+00,2400,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-6-22 at 8:30 PM, while in the confines of the 24th District, they were treated unprofessionally by an unknown officer. Police stopped them. The complainant states that the officer attempted to hit them with their patrol car, after accusing them of trying to go around other vehicles. The complainant states that the officer disrespected them, went over their loud speaker and made an inappropriate comment.",2022-11-06,08:30 PM,7016
22-0531,2022-11-10 05:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-2-22 at 9:57 PM, while in the confines of the 39th District, departmental policies were violated and an improper ticket was issued by two 39th District officers. They were stopped by police. The complainant was asked to exit their vehicle and placed in the back of a patrol car. Officers proceeded to search their vehicle without their permission. The complainant was also searched by an officer. The complainant states that they were not allowed to answer a call that they received on their cell phone. The complainant was told that they would be getting tickets in the mail.",2022-11-02,09:57 PM,7017
22-0532,2022-11-09 05:00:00+00,2200,HARASSMENT,"According to the complainant, on 10-21-22, they were harassed by an off-duty 22nd District officer. The officer has threatened to catch them face to face. The complainant states that they are dating the officer¿s ex-spouse. The officer has accused them of playing on the phone.",2022-10-21,,7018
22-0533,2022-11-10 05:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 10-30-22, while in the confines of the 22nd District, they did not receive proper service from a 22nd District officer. They went to the 22nd District to add information to a prior report. The officer told the complainant that the officer who took the initial report is the only one who could amend it or add to the report. The officer told the complainant to call the next day or come to the district so they could speak to the officer. The complainant called the district the following day and spoke to the officer who told them that the officer could have added to the report instead of telling them to come back. The complainant went to the district and spoke to the officer, who again told them that they could not add to the report. The complainant requested a supervisor, but the officer refused.",2022-10-30,,7019
22-0534,2022-11-10 05:00:00+00,2500,LACK OF SERVICE,"According to the complainant, on 9-28-22 at 3:30 PM, while in the confines of the 25th District, they did not receive proper service from an unknown 25th District officer. They went to the 25th District to look for their child who was taken into custody after they were involved in an auto accident. An officer redirected the complainant to the 15th District to see if there child was there. When they arrived at the 15th District, they noticed the building was closed down and was no longer at the same location.",2022-09-28,03:30 PM,7020
22-0535,2022-11-16 05:00:00+00,0600,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-7-22 at 10:50 AM, while in the confines of the 6th District, their civil rights were violated by a sergeant assigned to External Services. While doing freelance journalism work, they were approached by a sergeant. The sergeant said, ¿We don¿t want any problems here today. We know who you are and what you do. You¿re not a journalist. Don¿t bring attention to yourself or you will end up in handcuffs. You wouldn¿t want your business out there.¿ The complainant states that the sergeant works for a public figure and in the past, they were removed from a press conference, violating their 1st amendment right.",2022-11-07,10:50 AM,7021
22-0536,2022-11-10 05:00:00+00,1400,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-6-22 at 12:45 PM, while in the confines of the 14th District, they were verbally abused by two 14th District officers. They went to the 14th District to report a crime in progress. The complainant approached the window and attempted to speak to an officer. The officer told them to wait. The complainant waited 5 minutes and asked for help. The officer said, ""Didn't I say wait?"" The officer said that they were not going to help them. The officer approached and asked what they wanted. The complainant explained that they witnessed criminals confess to crimes. An officer asked the complainant why they didn't call 911 if it was such an emergency. They exchanged words. The officer proceeded to shut the window in their face. The complainant touched the window. The officer said, ""Don't you ever put your hand on this window."" The officer then shut the window in their face.",2022-11-06,12:45 PM,7022
22-0537,2022-11-15 05:00:00+00,0200,LACK OF SERVICE,"According to the complainant, on 7-11-22 at 6:30 PM, while in the confines of the 2nd District, they did not receive proper service from an unknown 2nd District officer. They were involved in an auto accident. The complainant was transported to the hospital by ambulance. A few days later, the complainant received a district control number from the 2nd District in reference to the accident. When the complainant went to the district to get more information from the report, they were informed that there was no report. The complainant also states that their bicycle was inside of the vehicle at the time, and now it is missing.",2022-07-11,06:30 PM,7023
22-0538,2022-11-15 05:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 11-5-22 at 4:00 PM, while in the confines of the 22nd District, they did not receive proper service from a 22nd District officer. Police responded over a landlord tenant issue. The officer was not helpful and refused to take their report. The complainant states that the officer walked away from them in the middle of their conversation.",2022-11-05,04:00 PM,7024
22-0539,2022-11-16 05:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 2-1-22 at 5:45 PM, while in the confines of the 3rd District, they did not receive proper service from a 3rd District sergeant. They made a police report. The sergeant was the supervisor of the officer who took the report. The complainant states the sergeant deliberately provided incorrect information to them and their attorney.",2022-02-01,05:45 PM,7025
22-0540,2022-11-15 05:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-12-22 at 5:30 PM, while in the confines of the 9th District, they were improperly stopped and departmental policies were violated by a 9th District officer. While riding their bicycle, an officer pulled their patrol car beside them. The officer swerved their patrol car in their direct path. The complainant yelled at the officer. The officer exited their patrol car and shouted at them to stop. The officer yelled, ¿You wanna call me a mother f*ck*r, huh? Well fine.¿ The officer requested their driver¿s license. The officer told them that they were stopped for endangering drivers, driving recklessly, failure to stop at a stop light and multiple stop signs. The complainant states that all of the traffic violations the officer stated were untrue. The complainant states that the officer belittled them when they asked the officer to repeat their name and badge number. The officer said, ¿I¿ve now told it to you four times. Four times.¿",2022-11-12,05:30 PM,7026
22-0541,2022-11-16 05:00:00+00,3500,LACK OF SERVICE,"According to the complainant, on 9-30-22 at 10:00 AM, while in the confines of the 35th District, they did not receive proper service from a detective assigned to Northwest Detective Division. They were threatened by a person with a gun. The case was assigned to the detective. The complainant states that the detective failed to take their case seriously and they could not get in contact with them for two months. The complainant states they then found out that their case was dismissed.",2022-09-30,10:00 AM,7027
22-0542,2022-11-21 05:00:00+00,0900,LACK OF SERVICE,"According to the complainant, while in the confines of the 9th District, they witnessed four officers standing outside a coffee shop, for the past year, smoking cigars and drinking coffee. The complainant states that the officers stand around on most days between the hours of 9:00 AM and 12:00 PM, doing nothing. The complainant also states that the officers park illegally and tell other people to move their vehicles, so that they can in turn park there.",,09:00 AM,7028
22-0543,2022-11-21 05:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 9-13-22 at 4:30 PM, while in the confines of the 22nd District, they called 911, because as they were attempting to park their car, they were threatened by several individuals. The complainant saw an officer and assumed they were there to help them. The complainant states that when they approached the officer, instead of helping them, they said they were not the responding officer and issued them a ticket for double parking.",2022-09-13,04:30 PM,7029
22-0544,2022-11-21 05:00:00+00,0900,LACK OF SERVICE,"According to the complainant, on 11-16-22 at 9:15 PM, while in the confines of the 9th District, they called 911, after being assaulted by an unknown individual. The complainant waited for 30 minutes and states that no officer responded to their 911 call during that time.",2022-11-16,09:15 PM,7030
22-0545,2022-11-21 05:00:00+00,2400,LACK OF SERVICE,"According to the complainant, while in the confines of the 24th District, they called 911 and spoke to a dispatcher, who would not listen to them. The dispatcher cut them off, as they tried to explain why they were calling. The complainant states that the dispatcher told them to not to explain anything and to just answer their questions, with yes or no answers.",,,7031
